Zone,Sub-Registrar-Office,Village,Street Name,Land Classification,Year,Price
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2012,225
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2013,225
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2014,225
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2015,225
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2016,225
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2017,225
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2017,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2018,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2019,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2020,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2021,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2022,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2023,151
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2023,226
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,AMMAN KOIL STREET,Residential Grade I - I,2024,226
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2012,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2013,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2014,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2015,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2016,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2017,320
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2017,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2018,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2019,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2020,214
Madurai,Madurai North Joint 1,PARAVAI 1 BIT STREET,BHRATHI STADIUM,Residential Special Category - II,2021,214
