Zone,Sub-Registrar-Office,Village,Street Name,YEAR 2012-2017,YEAR 2017-2023,YEAR 2023-2024,Land Classification
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,HERITAGE MADURAI ENCLAVE,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,SS COLONY,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,HMS COLONY,1000.0,670.0,400.0,Residential Area - Class III
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,BHARATHIYAR STREET,1000.0,670.0,400.0,Residential Area - Class II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,KANNAN COLONY,700.0,469.0,280.0,Residential Grade I - III
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,M.S.V.S.NAGAR,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,MEENAKSHIPURAM,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,MADURAI KONAR NAGAR,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,RAJ NAGAR,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,PANDIKOVIL,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,NEHRU STREET,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,MUTHURAMALINGAM STREET,1000.0,400.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,POSTOFFICE STREET,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,THENI ROAD,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,MAHATMA STREET,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,GANDHIJI STREET,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,OTHAKADAI,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,DSP NAGAR,2000.0,1340.0,840.0,Residential Special Category - III
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,JAYNAGAR STREET,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,SAMMATIPURAM ROAD,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,CHANDRAGHANDHI NAGAR,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,ELLIS NAGAR,1500.0,1005.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,KANNADHASAN STREET,1000.0,670.0,400.0,Residential Grade I - I
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,HARIJAN COLONY,500.0,335.0,250.0,Residential Grade - II Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,PONMENI STREET,PEASANTS STREET,600.0,402.0,350.0,Residential Grade II - I
,,,,,,,
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,VIRATTIPATHU,300.0,268.0,700.0,Residential Grade - II Category - III
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,SHANTHI SADAN COLONY,700.0,469.0,700.0,Residential Special Category - II
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,JAI NAGAR,400.0,268.0,700.0,Residential Grade - II Category - III
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,SPO COLONY,600.0,402.0,700.0,Residential Special Category - III
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,MANICKKAM NAGAR,500.0,335.0,700.0,Residential Grade II - I
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,KRISHNA NAGAR,500.0,335.0,700.0,Residential Grade II - I
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,VAIGAI NAGAR,1000.0,670.0,700.0,Residential Special Category - I
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,TOKNAGAR,600.0,402.0,700.0,Residential Special Category - III
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,KAMARAJAR STREET,300.0,201.0,700.0,Residential Grade - II Category - III
Madurai,NAGAMALAI PUTHUKOTTAI,KOCHADAI STREET,MUTHALLAMMAN KOIL STREET,300.0,268.0,700.0,Residential Grade - II Category - III
